date,age,account,old_balance,new_balance,amount,type,message
2028-03-31,53,oa,157037.76,155220.27,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 53--1817.49"
2028-03-31,53,loan,181384.04,179566.55,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 53--1817.49"
2028-03-31,53,oa,155220.27,156922.48,1702.21,inflow,oa-Allocation for OA at age 53-1702.21
2028-03-31,53,sa,271033.1,271476.93,443.83,inflow,sa-Allocation for SA at age 53-443.83
2028-03-31,53,ma,93929.6,94521.56,591.96,inflow,ma-Allocation for MA at age 53-591.96
2028-04-30,53,oa,156922.48,155104.99,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 53--1817.49"
2028-04-30,53,loan,179566.55,177749.06,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 53--1817.49"
2028-04-30,53,oa,155104.99,156807.2,1702.21,inflow,oa-Allocation for OA at age 53-1702.21
2028-04-30,53,sa,271476.93,271920.76,443.83,inflow,sa-Allocation for SA at age 53-443.83
2028-04-30,53,ma,94521.56,95113.52,591.96,inflow,ma-Allocation for MA at age 53-591.96
2028-05-31,53,oa,156807.2,154989.71,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 53--1817.49"
2028-05-31,53,loan,177749.06,175931.57,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 53--1817.49"
2028-05-31,53,oa,154989.71,156691.92,1702.21,inflow,oa-Allocation for OA at age 53-1702.21
2028-05-31,53,sa,271920.76,272364.59,443.83,inflow,sa-Allocation for SA at age 53-443.83
2028-05-31,53,ma,95113.52,95705.48,591.96,inflow,ma-Allocation for MA at age 53-591.96
2028-06-30,53,oa,156691.92,154874.43,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 53--1817.49"
2028-06-30,53,loan,175931.57,174114.08,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 53--1817.49"
2028-06-30,53,oa,154874.43,156576.64,1702.21,inflow,oa-Allocation for OA at age 53-1702.21
2028-06-30,53,sa,272364.59,272808.42,443.83,inflow,sa-Allocation for SA at age 53-443.83
2028-06-30,53,ma,95705.48,96297.44,591.96,inflow,ma-Allocation for MA at age 53-591.96
2028-07-31,54,oa,156576.64,154759.15,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 54--1817.49"
2028-07-31,54,loan,174114.08,172296.59,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 54--1817.49"
2028-07-31,54,oa,154759.15,156461.36,1702.21,inflow,oa-Allocation for OA at age 54-1702.21
2028-07-31,54,sa,272808.42,273252.25,443.83,inflow,sa-Allocation for SA at age 54-443.83
2028-07-31,54,ma,96297.44,96889.4,591.96,inflow,ma-Allocation for MA at age 54-591.96
2028-08-31,54,oa,156461.36,154643.87,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 54--1817.49"
2028-08-31,54,loan,172296.59,170479.1,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 54--1817.49"
2028-08-31,54,oa,154643.87,156346.08,1702.21,inflow,oa-Allocation for OA at age 54-1702.21
2028-08-31,54,sa,273252.25,273696.08,443.83,inflow,sa-Allocation for SA at age 54-443.83
2028-08-31,54,ma,96889.4,97481.36,591.96,inflow,ma-Allocation for MA at age 54-591.96
2028-09-30,54,oa,156346.08,154528.59,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 54--1817.49"
2028-09-30,54,loan,170479.1,168661.61,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 54--1817.49"
2028-09-30,54,oa,154528.59,156230.8,1702.21,inflow,oa-Allocation for OA at age 54-1702.21
2028-09-30,54,sa,273696.08,274139.91,443.83,inflow,sa-Allocation for SA at age 54-443.83
2028-09-30,54,ma,97481.36,98073.32,591.96,inflow,ma-Allocation for MA at age 54-591.96
2028-10-31,54,oa,156230.8,154413.31,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 54--1817.49"
2028-10-31,54,loan,168661.61,166844.12,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 54--1817.49"
2028-10-31,54,oa,154413.31,156115.52,1702.21,inflow,oa-Allocation for OA at age 54-1702.21
2028-10-31,54,sa,274139.91,274583.74,443.83,inflow,sa-Allocation for SA at age 54-443.83
2028-10-31,54,ma,98073.32,98665.28,591.96,inflow,ma-Allocation for MA at age 54-591.96
2028-11-30,54,oa,156115.52,154298.03,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 54--1817.49"
2028-11-30,54,loan,166844.12,165026.63,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 54--1817.49"
2028-11-30,54,oa,154298.03,156000.24,1702.21,inflow,oa-Allocation for OA at age 54-1702.21
2028-11-30,54,sa,274583.74,275027.57,443.83,inflow,sa-Allocation for SA at age 54-443.83
2028-11-30,54,ma,98665.28,99257.24,591.96,inflow,ma-Allocation for MA at age 54-591.96
2028-12-31,54,oa,156000.24,154182.75,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 54--1817.49"
2028-12-31,54,loan,165026.63,163209.14,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 54--1817.49"
2028-12-31,54,oa,154182.75,155884.96,1702.21,inflow,oa-Allocation for OA at age 54-1702.21
2028-12-31,54,sa,275027.57,275471.4,443.83,inflow,sa-Allocation for SA at age 54-443.83
2028-12-31,54,ma,99257.24,99849.2,591.96,inflow,ma-Allocation for MA at age 54-591.96
2028-12-31,54,oa,155884.96,156209.72,324.76,inflow,oa-Interest for ra at age 54-324.76
2028-12-31,54,sa,275471.4,276389.64,918.24,inflow,sa-Interest for ra at age 54-918.24
2028-12-31,54,ma,99849.2,100182.03,332.83,inflow,ma-Interest for ra at age 54-332.83
2028-12-31,54,sa,276389.64,276439.64,50.0,inflow,sa-Extra Interest for ra at age 54-50.00
2029-01-31,54,oa,156209.72,154392.23,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 54--1817.49"
2029-01-31,54,loan,163209.14,161391.65,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 54--1817.49"
2029-01-31,54,oa,154392.23,156094.44,1702.21,inflow,oa-Allocation for OA at age 54-1702.21
2029-01-31,54,sa,276439.64,276883.47,443.83,inflow,sa-Allocation for SA at age 54-443.83
2029-01-31,54,ma,100182.03,100773.99,591.96,inflow,ma-Allocation for MA at age 54-591.96
2029-02-28,54,oa,156094.44,154276.95,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 54--1817.49"
2029-02-28,54,loan,161391.65,159574.16,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 54--1817.49"
2029-02-28,54,oa,154276.95,155979.16,1702.21,inflow,oa-Allocation for OA at age 54-1702.21
2029-02-28,54,sa,276883.47,277327.3,443.83,inflow,sa-Allocation for SA at age 54-443.83
2029-02-28,54,ma,100773.99,101365.95,591.96,inflow,ma-Allocation for MA at age 54-591.96
2029-03-31,54,oa,155979.16,154161.67,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 54--1817.49"
2029-03-31,54,loan,159574.16,157756.67,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 54--1817.49"
2029-03-31,54,oa,154161.67,155863.88,1702.21,inflow,oa-Allocation for OA at age 54-1702.21
2029-03-31,54,sa,277327.3,277771.13,443.83,inflow,sa-Allocation for SA at age 54-443.83
2029-03-31,54,ma,101365.95,101957.91,591.96,inflow,ma-Allocation for MA at age 54-591.96
2029-04-30,54,oa,155863.88,154046.39,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 54--1817.49"
2029-04-30,54,loan,157756.67,155939.18,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 54--1817.49"
2029-04-30,54,oa,154046.39,155748.6,1702.21,inflow,oa-Allocation for OA at age 54-1702.21
2029-04-30,54,sa,277771.13,278214.96,443.83,inflow,sa-Allocation for SA at age 54-443.83
