DATE_KEY,REF,AGE,ACCOUNT,TYPE,INFLOW,OUTFLOW,OA,SA,MA,RA,LOANS,EXCESS,MESSAGE
2036-12-31,100000574,62,ma,inflow,2299.92,0.0,313691.0900000006,313691.0900000006,313691.0900000006,313691.0900000006,313691.0900000006,313691.0900000006,ma-Allocation for ma at age 62-2299.92
2036-12-31,100000575,62,ra,inflow,219.04,0.0,129068.88999999942,129068.88999999942,129068.88999999942,129068.88999999942,129068.88999999942,129068.88999999942,ra-Allocation for ra at age 62-219.04
2036-12-31,100000576,62,oa,inflow,65.68,0.0,19771.06000000004,19771.06000000004,19771.06000000004,19771.06000000004,19771.06000000004,19771.06000000004,oa-Interest for ra at age 62-65.68
2036-12-31,100000577,62,ma,inflow,1045.64,0.0,314736.7300000006,314736.7300000006,314736.7300000006,314736.7300000006,314736.7300000006,314736.7300000006,ma-Interest for ra at age 62-1045.64
2036-12-31,100000578,62,ra,inflow,430.23,0.0,129499.11999999941,129499.11999999941,129499.11999999941,129499.11999999941,129499.11999999941,129499.11999999941,ra-Interest for ra at age 62-430.23
2036-12-31,100000579,62,ra,inflow,50.0,0.0,129549.11999999941,129549.11999999941,129549.11999999941,129549.11999999941,129549.11999999941,129549.11999999941,ra-Extra Interest for ra at age 62-50.00
2037-01-31,100000580,62,oa,inflow,219.04,0.0,19990.100000000042,19990.100000000042,19990.100000000042,19990.100000000042,19990.100000000042,19990.100000000042,oa-Allocation for oa at age 62-219.04
2037-01-31,100000581,62,ma,inflow,2299.92,0.0,317036.6500000006,317036.6500000006,317036.6500000006,317036.6500000006,317036.6500000006,317036.6500000006,ma-Allocation for ma at age 62-2299.92
2037-01-31,100000582,62,ra,inflow,219.04,0.0,129768.1599999994,129768.1599999994,129768.1599999994,129768.1599999994,129768.1599999994,129768.1599999994,ra-Allocation for ra at age 62-219.04
2037-02-28,100000583,62,oa,inflow,219.04,0.0,20209.140000000043,20209.140000000043,20209.140000000043,20209.140000000043,20209.140000000043,20209.140000000043,oa-Allocation for oa at age 62-219.04
2037-02-28,100000584,62,ma,inflow,2299.92,0.0,319336.5700000006,319336.5700000006,319336.5700000006,319336.5700000006,319336.5700000006,319336.5700000006,ma-Allocation for ma at age 62-2299.92
2037-02-28,100000585,62,ra,inflow,219.04,0.0,129987.1999999994,129987.1999999994,129987.1999999994,129987.1999999994,129987.1999999994,129987.1999999994,ra-Allocation for ra at age 62-219.04
2037-03-31,100000586,62,oa,inflow,219.04,0.0,20428.180000000044,20428.180000000044,20428.180000000044,20428.180000000044,20428.180000000044,20428.180000000044,oa-Allocation for oa at age 62-219.04
2037-03-31,100000587,62,ma,inflow,2299.92,0.0,321636.4900000006,321636.4900000006,321636.4900000006,321636.4900000006,321636.4900000006,321636.4900000006,ma-Allocation for ma at age 62-2299.92
2037-03-31,100000588,62,ra,inflow,219.04,0.0,130206.2399999994,130206.2399999994,130206.2399999994,130206.2399999994,130206.2399999994,130206.2399999994,ra-Allocation for ra at age 62-219.04
2037-04-30,100000589,62,oa,inflow,219.04,0.0,20647.220000000045,20647.220000000045,20647.220000000045,20647.220000000045,20647.220000000045,20647.220000000045,oa-Allocation for oa at age 62-219.04
2037-04-30,100000590,62,ma,inflow,2299.92,0.0,323936.41000000056,323936.41000000056,323936.41000000056,323936.41000000056,323936.41000000056,323936.41000000056,ma-Allocation for ma at age 62-2299.92
2037-04-30,100000591,62,ra,inflow,219.04,0.0,130425.27999999939,130425.27999999939,130425.27999999939,130425.27999999939,130425.27999999939,130425.27999999939,ra-Allocation for ra at age 62-219.04
2037-05-31,100000592,62,oa,inflow,219.04,0.0,20866.260000000046,20866.260000000046,20866.260000000046,20866.260000000046,20866.260000000046,20866.260000000046,oa-Allocation for oa at age 62-219.04
2037-05-31,100000593,62,ma,inflow,2299.92,0.0,326236.33000000054,326236.33000000054,326236.33000000054,326236.33000000054,326236.33000000054,326236.33000000054,ma-Allocation for ma at age 62-2299.92
2037-05-31,100000594,62,ra,inflow,219.04,0.0,130644.31999999938,130644.31999999938,130644.31999999938,130644.31999999938,130644.31999999938,130644.31999999938,ra-Allocation for ra at age 62-219.04
2037-06-30,100000595,62,oa,inflow,219.04,0.0,21085.300000000047,21085.300000000047,21085.300000000047,21085.300000000047,21085.300000000047,21085.300000000047,oa-Allocation for oa at age 62-219.04
